,sicdescription,sic_level,num_firms,total_market_cap,gvkeys,marketcap_id
41,DEPOSITORY INSTITUTIONS,6000,349,17163052700.5924,"[179534, 2968, 7647, 8007, 4674, 4723, 39997, 5786, 2019, 4690, 8245, 11856, 9783, 4640, 4737, 15706, 14219, 65228, 21825, 4699, 7982, 158587, 11861, 175263, 15633, 18049, 3238, 3231, 115876, 64536, 15576, 24232, 2002, 17150, 65106, 34309, 17095, 64547, 139025, 11687, 15582, 10916, 63781, 36633, 163920, 16832, 51708, 15580, 3643, 29282, 15581, 61452, 118042, 13041, 162560, 19713, 185824, 150306, 136265, 11842, 164633, 30222, 17248, 14172, 74571, 27665, 17875, 2005, 17151, 19355, 16821, 327115, 16967, 22086, 184167, 65796, 24447, 29101, 25173, 260751, 16549, 16889, 64794, 17132, 170396, 17184, 17145, 23500, 20019, 16790, 27871, 28022, 16981, 33695, 4685, 150279, 28866, 61487, 150803, 18948, 285333, 21815, 30932, 117141, 17195, 19094, 41459, 20677, 66235, 16781, 18241, 19318, 120318, 18329, 176766, 16432, 190963, 32519, 31606, 16845, 22717, 18732, 63232, 266160, 26270, 19570, 16777, 28155, 14253, 19150, 27604, 109183, 33459, 28967, 25751, 111721, 17724, 33625, 20299, 162307, 62979, 18533, 32619, 31368, 16689, 63135, 33999, 16890, 119414, 31585, 61585, 16705, 33911, 15199, 43210, 164724, 17245, 29994, 17106, 109599, 187236, 28278, 19262, 65548, 19873, 27235, 66285, 121713, 38634, 30055, 111819, 175083, 35078, 65689, 29855, 143153, 19428, 26347, 17240, 165284, 18434, 170419, 19817, 17602, 37688, 33056, 8060, 26179, 18276, 23450, 66453, 16668, 17534, 66288, 161853, 35759, 35101, 107817, 21593, 39902, 144122, 27111, 176828, 66394, 178834, 105538, 20628, 33131, 45796, 62243, 31895, 20109, 31764, 63725, 18619, 162293, 15620, 34189, 112721, 26071, 63224, 33704, 125580, 34132, 175607, 105616, 51244, 160423, 139705, 25327, 17173, 66286, 66504, 18037, 12035, 187596, 180183, 147312, 180958, 110243, 62315, 153449, 66155, 112295, 164365, 41241, 157498, 153876, 15645, 107644, 18358, 45446, 186890, 146607, 18385, 116675, 165630, 111940, 133764, 38764, 18195, 160753, 162759, 115960, 25481, 15575, 30647, 166197, 34405, 177009, 112572, 39322, 32253, 151544, 74397, 153616, 196256, 164395, 43009, 18094, 41201, 161023, 32665, 21521, 39263, 16271, 181820, 63058, 32539, 29061, 65958, 61796, 31358, 136844, 18695, 19366, 66355, 117026, 39376, 175121, 31718, 34938, 62139, 27345, 111179, 120038, 18182, 174597, 17877, 32444, 66210, 106373, 16989, 117018, 39641, 64228, 264309, 32350, 39622, 65162, 111537, 170868, 165762, 18264, 32208, 15509, 14115, 214881, 29903, 16348, 66158, 15362, 30857, 161942, 34939, 61815, 18275, 116209, 22975, 29946, 31839, 112542, 38755, 179234, 18974, 63178, 29917, 31218, 64628]",all
42,DEPOSITORY INSTITUTIONS - Large Cap,6000,69,15954567420.73,"[179534, 2968, 7647, 8007, 4674, 4723, 39997, 5786, 2019, 4690, 8245, 11856, 9783, 4640, 4737, 15706, 14219, 65228, 21825, 4699, 7982, 158587, 11861, 175263, 15633, 18049, 3238, 3231, 115876, 64536, 15576, 24232, 2002, 17150, 65106, 34309, 17095, 64547, 139025, 11687, 15582, 10916, 63781, 36633, 163920, 16832, 51708, 15580, 3643, 29282, 15581, 61452, 118042, 13041, 162560, 19713, 185824, 150306, 136265, 11842, 164633, 30222, 17248, 14172, 74571, 27665, 17875, 2005, 17151]",large_cap
43,DEPOSITORY INSTITUTIONS - Small Cap,6000,69,13685730.075,"[41201, 161023, 32665, 21521, 39263, 16271, 181820, 63058, 32539, 29061, 65958, 61796, 31358, 136844, 18695, 19366, 66355, 117026, 39376, 175121, 31718, 34938, 62139, 27345, 111179, 120038, 18182, 174597, 17877, 32444, 66210, 106373, 16989, 117018, 39641, 64228, 264309, 32350, 39622, 65162, 111537, 170868, 165762, 18264, 32208, 15509, 14115, 214881, 29903, 16348, 66158, 15362, 30857, 161942, 34939, 61815, 18275, 116209, 22975, 29946, 31839, 112542, 38755, 179234, 18974, 63178, 29917, 31218, 64628]",small_cap
44,EATING AND DRINKING PLACES,5800,45,6787595822.5248,"[165914, 25434, 7154, 65417, 23843, 160211, 43023, 31846, 22672, 164471, 160376, 39483, 3007, 186858, 28499, 25737, 3708, 28397, 3570, 63739, 39961, 13092, 35423, 39595, 21124, 39756, 171049, 186785, 20960, 74439, 19398, 61418, 3424, 148470, 36924, 36481, 74405, 18047, 164300, 50810, 106660, 18978, 40658, 43059, 22543]",all
47,EDUCATIONAL SERVICES,8200,25,1393324170.285388,"[39122, 3905, 178976, 180083, 26305, 11300, 66379, 178797, 156633, 38265, 63338, 163668, 60723, 74419, 35378, 25331, 35327, 38780, 39553, 39703, 50478, 40334, 38110, 43759, 50616]",all
50,"ELECTRIC, GAS, AND SANITARY SERVICES",4900,119,18314793724.7326,"[38375, 40614, 157373, 4517, 1440, 112168, 9850, 7977, 14477, 4029, 11550, 8151, 11506, 8539, 6310, 4093, 179437, 43737, 4383, 3897, 7974, 110732, 7366, 185532, 8810, 8272, 3439, 3413, 135990, 14027, 8264, 9846, 7970, 5742, 6338, 8099, 24216, 165649, 1075, 6135, 10860, 11554, 8542, 8455, 36790, 39041, 65702, 12428, 10671, 7733, 2259, 31109, 5870, 10801, 8113, 160913, 6547, 35612, 16225, 19517, 7437, 35882, 34414, 6867, 11304, 2628, 9849, 14390, 9890, 8001, 7849, 8807, 115044, 5526, 136684, 6932, 25792, 2986, 14391, 9324, 8199, 179216, 32244, 20655, 1828, 19129, 18293, 7993, 34418, 40560, 24422, 74732, 7368, 331125, 105632, 10999, 11657, 23237, 62618, 12964, 25979, 190590, 186169, 292414, 183187, 100957, 24944, 39381, 17341, 39574, 154135, 37594, 9171, 22783, 16015, 14433, 187548, 64625, 110802]",all
51,"ELECTRIC, GAS, AND SANITARY SERVICES - Large Cap",4900,23,11740878474.41,"[38375, 40614, 157373, 4517, 1440, 112168, 9850, 7977, 14477, 4029, 11550, 8151, 11506, 8539, 6310, 4093, 179437, 43737, 4383, 3897, 7974, 110732, 7366]",large_cap
52,"ELECTRIC, GAS, AND SANITARY SERVICES - Small Cap",4900,23,20898745.7426,"[11657, 23237, 62618, 12964, 25979, 190590, 186169, 292414, 183187, 100957, 24944, 39381, 17341, 39574, 154135, 37594, 9171, 22783, 16015, 14433, 187548, 64625, 110802]",small_cap
53,"ELECTRONIC AND OTHER ELECTRICAL EQUIPMENT AND COMPONENTS, EXCEPT COMPUTER EQUIPMENT",3600,255,123371345752.78305,"[117768, 1690, 1161, 180711, 7343, 6008, 38060, 137310, 33668, 45094, 24800, 160888, 175404, 37449, 36175, 40532, 10499, 112158, 4199, 14282, 7585, 37073, 23249, 3532, 1632, 177267, 134932, 184725, 27965, 64356, 179583, 37392, 39931, 5764, 43113, 30170, 1327, 139804, 64853, 9203, 187450, 125604, 28195, 42262, 183736, 7875, 33725, 175982, 9016, 16597, 187740, 187462, 40636, 41996, 29241, 9771, 18036, 9599, 24905, 25430, 18564, 38094, 31255, 39751, 27387, 23119, 37309, 39822, 11465, 35794, 16401, 61562, 110760, 183903, 28139, 110039, 160893, 25274, 177426, 146017, 10008, 25747, 39251, 27794, 35373, 8699, 66032, 160213, 28940, 343180, 163118, 37646, 24795, 39338, 66393, 61356, 9216, 133288, 38465, 21238, 37651, 31494, 11191, 4881, 19305, 15420, 74813, 27014, 38277, 33767, 66686, 30576, 175955, 5572, 12945, 142814, 1823, 154039, 38995, 19518, 28724, 184551, 7685, 23083, 33766, 33420, 23084, 36336, 3969, 2526, 11670, 264416, 13200, 10000, 31843, 5520, 11703, 25166, 180753, 166368, 2577, 37794, 15240, 39454, 37937, 29636, 28236, 23671, 184604, 41441, 351653, 33557, 186360, 43666, 141178, 37694, 12482, 6527, 40279, 185138, 38059, 176572, 61153, 20692, 63531, 29930, 39875, 138501, 8348, 60707, 65036, 65590, 33550, 13906, 21743, 41227, 260737, 7291, 25447, 1117, 17396, 35789, 37304, 9818, 39786, 39427, 141099, 39836, 28087, 41420, 4450, 278234, 39903, 3358, 39121, 27737, 39185, 13582, 347354, 184345, 135044, 233491, 45020, 2124, 178153, 40460, 327599, 28374, 38462, 28091, 132740, 2829, 29126, 176035, 177058, 39317, 141881, 36853, 22373, 120860, 27703, 25538, 38673, 184962, 40781, 26045, 41328, 40650, 11027, 40416, 19977, 39773, 35104, 40849, 6497, 38001, 154947, 18549, 210418, 25088, 21765, 101336, 32352, 35675, 184133, 45400, 27828, 13176, 39173, 39631, 41076, 43899, 18509, 166460, 148772]",all
54,"ELECTRONIC AND OTHER ELECTRICAL EQUIPMENT AND COMPONENTS, EXCEPT COMPUTER EQUIPMENT - Large Cap",3600,51,118018172015.64,"[117768, 1690, 1161, 180711, 7343, 6008, 38060, 137310, 33668, 45094, 24800, 160888, 175404, 37449, 36175, 40532, 10499, 112158, 4199, 14282, 7585, 37073, 23249, 3532, 1632, 177267, 134932, 184725, 27965, 64356, 179583, 37392, 39931, 5764, 43113, 30170, 1327, 139804, 64853, 9203, 187450, 125604, 28195, 42262, 183736, 7875, 33725, 175982, 9016, 16597, 187740]",large_cap
55,"ELECTRONIC AND OTHER ELECTRICAL EQUIPMENT AND COMPONENTS, EXCEPT COMPUTER EQUIPMENT - Small Cap",3600,51,13456910.64425,"[178153, 40460, 327599, 28374, 38462, 28091, 132740, 2829, 29126, 176035, 177058, 39317, 141881, 36853, 22373, 120860, 27703, 25538, 38673, 184962, 40781, 26045, 41328, 40650, 11027, 40416, 19977, 39773, 35104, 40849, 6497, 38001, 154947, 18549, 210418, 25088, 21765, 101336, 32352, 35675, 184133, 45400, 27828, 13176, 39173, 39631, 41076, 43899, 18509, 166460, 148772]",small_cap
56,"ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT, AND RELATED SERVICES",8700,71,4578267809.5296,"[143357, 180652, 17928, 8402, 12441, 6216, 137131, 110620, 147988, 141277, 19998, 8832, 38135, 62823, 23027, 28717, 43589, 30536, 31752, 24783, 140988, 161997, 61463, 174637, 50688, 18624, 17816, 356859, 31477, 37338, 175654, 29985, 39680, 36718, 10685, 43026, 20661, 62262, 26545, 37354, 42332, 39442, 111000, 39077, 38754, 141359, 64061, 60836, 39246, 321429, 31803, 180229, 50084, 51723, 65208, 51092, 106126, 45051, 65905, 33081, 38979, 42969, 41467, 51425, 277846, 38014, 12377, 2519, 39746, 22879, 35160]",all
57,"ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT, AND RELATED SERVICES - Large Cap",8700,14,3722304403.21,"[143357, 180652, 17928, 8402, 12441, 6216, 137131, 110620, 147988, 141277, 19998, 8832, 38135, 62823]",large_cap
58,"ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT, AND RELATED SERVICES - Small Cap",8700,14,2890996.0707,"[45051, 65905, 33081, 38979, 42969, 41467, 51425, 277846, 38014, 12377, 2519, 39746, 22879, 35160]",small_cap
59,"FABRICATED METAL PRODUCTS, EXCEPT MACHINERY AND TRANSPORTATION EQUIPMENT",3400,50,3199516942.0576,"[326688, 8358, 143912, 3619, 7085, 1988, 45158, 188255, 316056, 25964, 64389, 9778, 11094, 3580, 30260, 328795, 180474, 166482, 12445, 1926, 5987, 170765, 15252, 133367, 64254, 1686, 39215, 10124, 66871, 38961, 179819, 50354, 7762, 39386, 175457, 35099, 5254, 45439, 115757, 19431, 164116, 100312, 36153, 194655, 7602, 178644, 5621, 9647, 4186, 36963]",all
60,"FABRICATED METAL PRODUCTS, EXCEPT MACHINERY AND TRANSPORTATION EQUIPMENT - Large Cap",3400,10,2456485577.19,"[326688, 8358, 143912, 3619, 7085, 1988, 45158, 188255, 316056, 25964]",large_cap
61,"FABRICATED METAL PRODUCTS, EXCEPT MACHINERY AND TRANSPORTATION EQUIPMENT - Small Cap",3400,10,4251012.7976,"[164116, 100312, 36153, 194655, 7602, 178644, 5621, 9647, 4186, 36963]",small_cap
62,FOOD AND KINDRED PRODUCTS,2000,83,9582585685.5145,"[3144, 8479, 142953, 5568, 28877, 2710, 5597, 24316, 5071, 1722, 3362, 6375, 2663, 9777, 7146, 175269, 5709, 28790, 34447, 21798, 2435, 10793, 12756, 35684, 144435, 3505, 20338, 12785, 275108, 66016, 4809, 30651, 170527, 3138, 27576, 61581, 39749, 36726, 6573, 317427, 12825, 34259, 45775, 64072, 163983, 24463, 37901, 24755, 10609, 282104, 8582, 158743, 14891, 12761, 7696, 186275, 29609, 38621, 29517, 17494, 74631, 39197, 15087, 14501, 42987, 16603, 43464, 38029, 20879, 30666, 45332, 36989, 37236, 41511, 43038, 65613, 39471, 184548, 3516, 36379, 37528, 130638, 39467]",all
63,FOOD AND KINDRED PRODUCTS - Large Cap,2000,16,7266470856.45,"[3144, 8479, 142953, 5568, 28877, 2710, 5597, 24316, 5071, 1722, 3362, 6375, 2663, 9777, 7146, 175269]",large_cap
64,FOOD AND KINDRED PRODUCTS - Small Cap,2000,16,4719300.8241,"[38029, 20879, 30666, 45332, 36989, 37236, 41511, 43038, 65613, 39471, 184548, 3516, 36379, 37528, 130638, 39467]",small_cap
65,FOOD STORES,5400,18,1939845481.59,"[6502, 17934, 2807, 25645, 189579, 21894, 11443, 133767, 43855, 11922, 12972, 11343, 64655, 11178, 23994, 6771, 42971, 43935]",all
68,FURNITURE AND FIXTURES,2500,18,388379497.0938,"[156861, 16477, 5690, 66290, 6649, 27333, 6543, 23252, 33425, 184585, 7401, 116504, 40723, 4771, 11185, 2080, 122211, 33068]",all
71,GENERAL MERCHANDISE STORES,5300,14,5942589367.440001,"[11259, 29028, 3813, 4016, 31587, 171141, 33718, 24076, 4611, 3964, 25283, 65343, 2703, 183683]",all
74,HEALTH SERVICES,8000,76,4735535130.001,"[7241, 22260, 45462, 24176, 14960, 12589, 7750, 64166, 61483, 178803, 2960, 35543, 11032, 39916, 24249, 39321, 13071, 164652, 174236, 43457, 192255, 183283, 125794, 38594, 25898, 35708, 36808, 39480, 61325, 39078, 5539, 50345, 12304, 45238, 35396, 38688, 25318, 38461, 32809, 35824, 43421, 36237, 35642, 51803, 23714, 38834, 180250, 28012, 7741, 61490, 39830, 36857, 185054, 13992, 25472, 38503, 34526, 41366, 40310, 37146, 32860, 39509, 37134, 17485, 38200, 16732, 38174, 355759, 183337, 37685, 4826, 50491, 32078, 45037, 38853, 38717]",all
75,HEALTH SERVICES - Large Cap,8000,15,4098581693.09,"[7241, 22260, 45462, 24176, 14960, 12589, 7750, 64166, 61483, 178803, 2960, 35543, 11032, 39916, 24249]",large_cap
76,HEALTH SERVICES - Small Cap,8000,15,2818936.741,"[39509, 37134, 17485, 38200, 16732, 38174, 355759, 183337, 37685, 4826, 50491, 32078, 45037, 38853, 38717]",small_cap
77,HEAVY CONSTRUCTION OTHER THAN BUILDING CONSTRUCTION CONTRACTORS,1600,19,1199028793.73,"[2497, 175686, 4818, 4115, 271217, 33424, 180646, 21429, 8486, 45232, 185128, 179132, 23195, 148223, 19987, 174282, 356289, 43898, 40132]",all
80,HOLDING AND OTHER INVESTMENT OFFICES,6700,303,15638282839.784092,"[5543, 138743, 29984, 105365, 30822, 10096, 32580, 110179, 160479, 29389, 38845, 160991, 6100, 121382, 17639, 64821, 113490, 9273, 65556, 29875, 28733, 64766, 30293, 29649, 179889, 27875, 29359, 30004, 160173, 4605, 25633, 18792, 13125, 7063, 160990, 64925, 62374, 10504, 178997, 28322, 10894, 24731, 66354, 18494, 28629, 18071, 161966, 17878, 3562, 27394, 12140, 34970, 24620, 65710, 74449, 30067, 29099, 23147, 183833, 18383, 4193, 33684, 185618, 183388, 63422, 266315, 32980, 19582, 30384, 65290, 185339, 162354, 11220, 30298, 65615, 45779, 20534, 29052, 33337, 23977, 14403, 64306, 187148, 50389, 39989, 29868, 26839, 162160, 5862, 24825, 160706, 36967, 183822, 160541, 28340, 28323, 20959, 184689, 8692, 11301, 40692, 20105, 21604, 178529, 175307, 183830, 19507, 28785, 20791, 36777, 17769, 22459, 50721, 22983, 24533, 183780, 170714, 180228, 19855, 185018, 26410, 10917, 32154, 45445, 183902, 15101, 30490, 183606, 25665, 1257, 23077, 11756, 178862, 22674, 28670, 23353, 37723, 185549, 20029, 186363, 186893, 183029, 43873, 31958, 61163, 24291, 61129, 180193, 183324, 51878, 40530, 27780, 146140, 30637, 14592, 157293, 19974, 19440, 13562, 23996, 28069, 35770, 5149, 158053, 18296, 160233, 65640, 154739, 31251, 45373, 19526, 31819, 128078, 135788, 34415, 174360, 39498, 23086, 31966, 17626, 23556, 3429, 186993, 185396, 16149, 266257, 16125, 33066, 185453, 185585, 4045, 13580, 36133, 17866, 171023, 66588, 28769, 12081, 145024, 185821, 61188, 176725, 35030, 38263, 184287, 177216, 43884, 32671, 124046, 150837, 187483, 50619, 16150, 9346, 18700, 164155, 29082, 8148, 40353, 23984, 32751, 35793, 176999, 184688, 163884, 9393, 189516, 8493, 22853, 34298, 19851, 34260, 7279, 43521, 157452, 61004, 39964, 14326, 16641, 7959, 158765, 186671, 18073, 36053, 36764, 39861, 16608, 43849, 39031, 1949, 19925, 22082, 171109, 50313, 39039, 161852, 16066, 176256, 39332, 38053, 31994, 162925, 19084, 15211, 36761, 33670, 16884, 29016, 22985, 39464, 175315, 174926, 33747, 40248, 29721, 106528, 20337, 39663, 155754, 64260, 20710, 8611, 192159, 37418, 66376, 24980, 141663, 19752, 41082, 30223, 64545, 152828, 239962, 34975, 182701, 7034, 120456, 38860, 37329, 26475, 29552, 19966, 15699]",all
81,HOLDING AND OTHER INVESTMENT OFFICES - Large Cap,6700,60,12671061087.73,"[5543, 138743, 29984, 105365, 30822, 10096, 32580, 110179, 160479, 29389, 38845, 160991, 6100, 121382, 17639, 64821, 113490, 9273, 65556, 29875, 28733, 64766, 30293, 29649, 179889, 27875, 29359, 30004, 160173, 4605, 25633, 18792, 13125, 7063, 160990, 64925, 62374, 10504, 178997, 28322, 10894, 24731, 66354, 18494, 28629, 18071, 161966, 17878, 3562, 27394, 12140, 34970, 24620, 65710, 74449, 30067, 29099, 23147, 183833, 18383]",large_cap
82,HOLDING AND OTHER INVESTMENT OFFICES - Small Cap,6700,60,22678129.069092,"[36053, 36764, 39861, 16608, 43849, 39031, 1949, 19925, 22082, 171109, 50313, 39039, 161852, 16066, 176256, 39332, 38053, 31994, 162925, 19084, 15211, 36761, 33670, 16884, 29016, 22985, 39464, 175315, 174926, 33747, 40248, 29721, 106528, 20337, 39663, 155754, 64260, 20710, 8611, 192159, 37418, 66376, 24980, 141663, 19752, 41082, 30223, 64545, 152828, 239962, 34975, 182701, 7034, 120456, 38860, 37329, 26475, 29552, 19966, 15699]",small_cap
86,"HOTELS, ROOMING HOUSES, CAMPS, AND OTHER LODGING PLACES",7000,12,1718122585.83,"[5643, 37460, 28930, 183366, 33243, 29011, 12544, 191255, 160785, 20020, 39068, 7632]",all
89,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT,3500,163,31057272887.0608,"[11399, 150937, 20779, 2817, 45169, 1704, 6565, 51008, 39800, 176567, 5959, 20748, 26156, 162643, 14489, 30098, 3835, 6268, 5878, 5606, 4058, 25756, 36191, 3650, 137573, 5087, 38022, 185229, 10016, 164557, 36190, 189491, 122380, 4108, 5252, 24405, 61591, 8463, 30547, 7486, 295786, 21542, 25180, 6737, 7921, 10991, 7991, 15267, 32886, 5860, 43190, 137602, 13570, 180466, 32938, 25922, 63892, 102696, 24601, 119574, 10581, 10618, 65009, 179657, 41059, 38125, 2444, 8606, 27960, 42284, 187169, 36883, 187696, 142956, 11636, 32638, 1050, 23243, 74496, 14954, 6386, 11124, 3946, 29191, 1706, 6509, 65671, 39738, 142260, 37153, 171059, 14898, 8867, 45710, 30847, 10441, 62221, 28903, 16710, 12262, 18114, 179738, 37090, 23865, 31424, 38336, 184258, 51058, 5237, 19602, 29478, 184470, 28295, 6994, 9919, 186779, 135844, 349854, 160681, 35999, 39784, 62819, 37896, 40645, 160453, 31005, 4497, 32851, 138467, 25539, 51423, 39763, 8864, 50909, 43674, 40295, 37547, 45542, 28819, 40681, 50382, 40783, 340153, 42012, 29894, 32294, 30030, 7658, 7185, 5788, 1820, 51159, 347720, 10777, 100012, 31402, 179249, 35541, 63520, 10349, 35810, 10740, 50969]",all
90,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT - Large Cap,3500,32,26602785644.43,"[11399, 150937, 20779, 2817, 45169, 1704, 6565, 51008, 39800, 176567, 5959, 20748, 26156, 162643, 14489, 30098, 3835, 6268, 5878, 5606, 4058, 25756, 36191, 3650, 137573, 5087, 38022, 185229, 10016, 164557, 36190, 189491]",large_cap
91,INDUSTRIAL AND COMMERCIAL MACHINERY AND COMPUTER EQUIPMENT - Small Cap,3500,32,9759483.8428,"[39763, 8864, 50909, 43674, 40295, 37547, 45542, 28819, 40681, 50382, 40783, 340153, 42012, 29894, 32294, 30030, 7658, 7185, 5788, 1820, 51159, 347720, 10777, 100012, 31402, 179249, 35541, 63520, 10349, 35810, 10740, 50969]",small_cap
92,"INSURANCE AGENTS, BROKERS, AND SERVICE",6400,22,3970487953.3496,"[4973, 3221, 7065, 15417, 144009, 39067, 61380, 33421, 26167, 24225, 60799, 74430, 39380, 36775, 38237, 36234, 174389, 50311, 22318, 50539, 36635, 36852]",all
